period,programme,scheme,scheme_description,basis,recipients
2014Q1,Children,CB,Child Benefit,Social Assistance,623739.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,48327.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,58953.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,1697.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,109030.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,102450.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,54541.0
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,334307.0
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,97285.0
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,119168.0
2014Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,37874.0
2014Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,59834.0
2014Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,80585.0
2014Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,339000.0
2014Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,88629.0
2014Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,32184.0
2014Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,81185.0
2014Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1098.0
2014Q2,Children,CB,Child Benefit,Social Assistance,624463.0
2014Q2,Children,FIS,Family Income Supplement,Social Assistance,49477.0
2014Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,59160.0
2014Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,1708.0
2014Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,110063.0
2014Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,94613.0
2014Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,54587.0
2014Q2,Pensions,SPC,State Pension Contributory,Social Insurance,338504.0
2014Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96894.0
2014Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,119087.0
2014Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,38150.0
2014Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,61157.0
2014Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,78514.0
2014Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,348163.0
2014Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,80876.0
2014Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31148.0
2014Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,80525.0
2014Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1779.0
2014Q3,Children,CB,Child Benefit,Social Assistance,618686.0
2014Q3,Children,FIS,Family Income Supplement,Social Assistance,52084.0
2014Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,59874.0
2014Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,1920.0
2014Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,112403.0
2014Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,93023.0
2014Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,55000.0
2014Q3,Pensions,SPC,State Pension Contributory,Social Insurance,342765.0
2014Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96833.0
2014Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,119376.0
2014Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,39254.0
2014Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,63177.0
2014Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,76006.0
2014Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,350287.0
2014Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,79595.0
2014Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31103.0
2014Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,75288.0
2014Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1831.0
2014Q4,Children,CB,Child Benefit,Social Assistance,625362.0
2014Q4,Children,FIS,Family Income Supplement,Social Assistance,53981.0
2014Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,61027.0
2014Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,1973.0
2014Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,113628.0
2014Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,93156.0
2014Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,55300.0
2014Q4,Pensions,SPC,State Pension Contributory,Social Insurance,346763.0
2014Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,97049.0
2014Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,119810.0
2014Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,40131.0
2014Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,65057.0
2014Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,73413.0
2014Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,321328.0
2014Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,70870.0
2014Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,32622.0
2014Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,73612.0
2014Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1817.0
2015Q1,Children,CB,Child Benefit,Social Assistance,626276.0
2015Q1,Children,FIS,Family Income Supplement,Social Assistance,54710.0
2015Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,62054.0
2015Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,2063.0
2015Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,115471.0
2015Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,94917.0
2015Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,55644.0
2015Q1,Pensions,SPC,State Pension Contributory,Social Insurance,350284.0
2015Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,97023.0
2015Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,120109.0
2015Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,41678.0
2015Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,67890.0
2015Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,71543.0
2015Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,313144.0
2015Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,77749.0
2015Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31918.0
2015Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,72051.0
2015Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1807.0
2015Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,1172.0
2015Q2,Children,CB,Child Benefit,Social Assistance,627697.0
2015Q2,Children,FIS,Family Income Supplement,Social Assistance,56639.0
2015Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,63091.0
2015Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,2197.0
2015Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,117183.0
2015Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,92638.0
2015Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56028.0
2015Q2,Pensions,SPC,State Pension Contributory,Social Insurance,353658.0
2015Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96750.0
2015Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,120248.0
2015Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,42433.0
2015Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,69654.0
2015Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,69298.0
2015Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,319739.0
2015Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,71782.0
2015Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31030.0
2015Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,71487.0
2015Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1780.0
2015Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,9290.0
2015Q3,Children,CB,Child Benefit,Social Assistance,622572.0
2015Q3,Children,FIS,Family Income Supplement,Social Assistance,58302.0
2015Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,63757.0
2015Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,2290.0
2015Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,118941.0
2015Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,91228.0
2015Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56175.0
2015Q3,Pensions,SPC,State Pension Contributory,Social Insurance,357939.0
2015Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96649.0
2015Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,120493.0
2015Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,43623.0
2015Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,71719.0
2015Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,66148.0
2015Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,330514.0
2015Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,73278.0
2015Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30735.0
2015Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,45558.0
2015Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1734.0
2015Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,11098.0
2015Q4,Children,CB,Child Benefit,Social Assistance,628609.0
2015Q4,Children,FIS,Family Income Supplement,Social Assistance,60300.0
2015Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,64671.0
2015Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,2468.0
2015Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,120587.0
2015Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,92031.0
2015Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56345.0
2015Q4,Pensions,SPC,State Pension Contributory,Social Insurance,362595.0
2015Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96796.0
2015Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,120980.0
2015Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,45073.0
2015Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,73933.0
2015Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,62815.0
2015Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,304914.0
2015Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,63655.0
2015Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31880.0
2015Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,44545.0
2015Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1709.0
2016Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,11780.0
2016Q1,Children,CB,Child Benefit,Social Assistance,629208.0
2016Q1,Children,FIS,Family Income Supplement,Social Assistance,60382.0
2016Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,65372.0
2016Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,2687.0
2016Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,122165.0
2016Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,93571.0
2016Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56468.0
2016Q1,Pensions,SPC,State Pension Contributory,Social Insurance,365629.0
2016Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96672.0
2016Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121239.0
2016Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,45943.0
2016Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,75429.0
2016Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,59822.0
2016Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,293800.0
2016Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,70524.0
2016Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31068.0
2016Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,43873.0
2016Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1660.0
2016Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,12641.0
2016Q2,Children,CB,Child Benefit,Social Assistance,631889.0
2016Q2,Children,FIS,Family Income Supplement,Social Assistance,60798.0
2016Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,66747.0
2016Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,2787.0
2016Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,123782.0
2016Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,91679.0
2016Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56496.0
2016Q2,Pensions,SPC,State Pension Contributory,Social Insurance,369231.0
2016Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96610.0
2016Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121415.0
2016Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,47313.0
2016Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,77913.0
2016Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,56863.0
2016Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,296415.0
2016Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,66005.0
2016Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30152.0
2016Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,43712.0
2016Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1639.0
2016Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,13313.0
2016Q3,Children,CB,Child Benefit,Social Assistance,626354.0
2016Q3,Children,FIS,Family Income Supplement,Social Assistance,60950.0
2016Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,69659.0
2016Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3093.0
2016Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,125413.0
2016Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,89940.0
2016Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56358.0
2016Q3,Pensions,SPC,State Pension Contributory,Social Insurance,373833.0
2016Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96789.0
2016Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121838.0
2016Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,48333.0
2016Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,79648.0
2016Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,53233.0
2016Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,288128.0
2016Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,67116.0
2016Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30457.0
2016Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,43307.0
2016Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,263.0
2016Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1607.0
2016Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,13840.0
2016Q4,Children,CB,Child Benefit,Social Assistance,632617.0
2016Q4,Children,FIS,Family Income Supplement,Social Assistance,61801.0
2016Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,71907.0
2016Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3187.0
2016Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,127503.0
2016Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,90142.0
2016Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,56477.0
2016Q4,Pensions,SPC,State Pension Contributory,Social Insurance,377401.0
2016Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96803.0
2016Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,121956.0
2016Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,50178.0
2016Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,82205.0
2016Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,49655.0
2016Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,263334.0
2016Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,59012.0
2016Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30978.0
2016Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42786.0
2016Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,4429.0
2016Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1577.0
2017Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,14446.0
2017Q1,Children,CB,Child Benefit,Social Assistance,632950.0
2017Q1,Children,FIS,Family Income Supplement,Social Assistance,62527.0
2017Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,73839.0
2017Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3212.0
2017Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,129969.0
2017Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,94473.0
2017Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57433.0
2017Q1,Pensions,SPC,State Pension Contributory,Social Insurance,381765.0
2017Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96670.0
2017Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122492.0
2017Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,51791.0
2017Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,84500.0
2017Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,46705.0
2017Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,252945.0
2017Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,65702.0
2017Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29035.0
2017Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42641.0
2017Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,5948.0
2017Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1563.0
2017Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,14603.0
2017Q2,Children,CB,Child Benefit,Social Assistance,633696.0
2017Q2,Children,FIS,Family Income Supplement,Social Assistance,62150.0
2017Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,75195.0
2017Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3291.0
2017Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,131511.0
2017Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,90688.0
2017Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,57957.0
2017Q2,Pensions,SPC,State Pension Contributory,Social Insurance,386254.0
2017Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96464.0
2017Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122313.0
2017Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,52989.0
2017Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,86377.0
2017Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,43138.0
2017Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,252499.0
2017Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,61395.0
2017Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29334.0
2017Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42498.0
2017Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6873.0
2017Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1550.0
2017Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,14515.0
2017Q3,Children,CB,Child Benefit,Social Assistance,628155.0
2017Q3,Children,FIS,Family Income Supplement,Social Assistance,62336.0
2017Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,76348.0
2017Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3332.0
2017Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,133968.0
2017Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,91429.0
2017Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58347.0
2017Q3,Pensions,SPC,State Pension Contributory,Social Insurance,391025.0
2017Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96409.0
2017Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122467.0
2017Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,54603.0
2017Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,88460.0
2017Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,39432.0
2017Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,244047.0
2017Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,64557.0
2017Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30063.0
2017Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42167.0
2017Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7144.0
2017Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1527.0
2017Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,9457.0
2017Q4,Children,CB,Child Benefit,Social Assistance,634620.0
2017Q4,Children,FIS,Family Income Supplement,Social Assistance,62289.0
2017Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,76949.0
2017Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3208.0
