period,programme,scheme,scheme_description,basis,recipients
2017Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,135513.0
2017Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,89128.0
2017Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58606.0
2017Q4,Pensions,SPC,State Pension Contributory,Social Insurance,394454.0
2017Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96608.0
2017Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122558.0
2017Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,56095.0
2017Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,90940.0
2017Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,36041.0
2017Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,222967.0
2017Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,56589.0
2017Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31858.0
2017Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41765.0
2017Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7065.0
2017Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1519.0
2018Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,8974.0
2018Q1,Children,CB,Child Benefit,Social Assistance,635232.0
2018Q1,Children,FIS,Working Family Payment,Social Assistance,62404.0
2018Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,77947.0
2018Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3279.0
2018Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,137506.0
2018Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,95876.0
2018Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59147.0
2018Q1,Pensions,SPC,State Pension Contributory,Social Insurance,398776.0
2018Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96486.0
2018Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122643.0
2018Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,57160.0
2018Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,92839.0
2018Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,33267.0
2018Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,213440.0
2018Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,63083.0
2018Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30276.0
2018Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41670.0
2018Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6338.0
2018Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1520.0
2018Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,8866.0
2018Q2,Children,CB,Child Benefit,Social Assistance,637342.0
2018Q2,Children,FIS,Working Family Payment,Social Assistance,61485.0
2018Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,79243.0
2018Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3316.0
2018Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,139056.0
2018Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,90784.0
2018Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58957.0
2018Q2,Pensions,SPC,State Pension Contributory,Social Insurance,403294.0
2018Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96447.0
2018Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122643.0
2018Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,58292.0
2018Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,94430.0
2018Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,30747.0
2018Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,214012.0
2018Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,60519.0
2018Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,28763.0
2018Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41963.0
2018Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,5613.0
2018Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1487.0
2018Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,8636.0
2018Q3,Children,CB,Child Benefit,Social Assistance,632021.0
2018Q3,Children,FIS,Working Family Payment,Social Assistance,59831.0
2018Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,79705.0
2018Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3249.0
2018Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,141064.0
2018Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,91307.0
2018Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58685.0
2018Q3,Pensions,SPC,State Pension Contributory,Social Insurance,407872.0
2018Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96456.0
2018Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,123019.0
2018Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,59351.0
2018Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,95995.0
2018Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,28025.0
2018Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,205832.0
2018Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,62942.0
2018Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29575.0
2018Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41959.0
2018Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6655.0
2018Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1497.0
2018Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,8443.0
2018Q4,Children,CB,Child Benefit,Social Assistance,640582.0
2018Q4,Children,FIS,Working Family Payment,Social Assistance,58582.0
2018Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,81520.0
2018Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3282.0
2018Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,142650.0
2018Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,89274.0
2018Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,58922.0
2018Q4,Pensions,SPC,State Pension Contributory,Social Insurance,412398.0
2018Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96630.0
2018Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,122908.0
2018Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,61858.0
2018Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,99842.0
2018Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,25615.0
2018Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,188863.0
2018Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,55743.0
2018Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31861.0
2018Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41595.0
2018Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7022.0
2018Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1481.0
2019Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,8021.0
2019Q1,Children,CB,Child Benefit,Social Assistance,634475.0
2019Q1,Children,FIS,Working Family Payment,Social Assistance,58951.0
2019Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,83275.0
2019Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3342.0
2019Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,144157.0
2019Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,96353.0
2019Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59532.0
2019Q1,Pensions,SPC,State Pension Contributory,Social Insurance,417678.0
2019Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96799.0
2019Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,123453.0
2019Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,61166.0
2019Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,99788.0
2019Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,23471.0
2019Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,180788.0
2019Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,61752.0
2019Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29871.0
2019Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41762.0
2019Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6759.0
2019Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1473.0
2019Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,7524.0
2019Q2,Children,CB,Child Benefit,Social Assistance,640040.0
2019Q2,Children,FIS,Working Family Payment,Social Assistance,57763.0
2019Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,84004.0
2019Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3289.0
2019Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,145166.0
2019Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,87699.0
2019Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59465.0
2019Q2,Pensions,SPC,State Pension Contributory,Social Insurance,421496.0
2019Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96598.0
2019Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,123775.0
2019Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,63274.0
2019Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,102880.0
2019Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,21420.0
2019Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,180913.0
2019Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,58714.0
2019Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29900.0
2019Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41859.0
2019Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6771.0
2019Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1431.0
2019Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,7132.0
2019Q3,Children,CB,Child Benefit,Social Assistance,634683.0
2019Q3,Children,FIS,Working Family Payment,Social Assistance,57669.0
2019Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,84291.0
2019Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3661.0
2019Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,146843.0
2019Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,87460.0
2019Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59415.0
2019Q3,Pensions,SPC,State Pension Contributory,Social Insurance,428717.0
2019Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96494.0
2019Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,124075.0
2019Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,64243.0
2019Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,104937.0
2019Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,19489.0
2019Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,179178.0
2019Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,65488.0
2019Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30813.0
2019Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41947.0
2019Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7940.0
2019Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1419.0
2019Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,6570.0
2019Q4,Children,CB,Child Benefit,Social Assistance,641102.0
2019Q4,Children,FIS,Working Family Payment,Social Assistance,57241.0
2019Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,85800.0
2019Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3735.0
2019Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,148802.0
2019Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,88181.0
2019Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59385.0
2019Q4,Pensions,SPC,State Pension Contributory,Social Insurance,432383.0
2019Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96220.0
2019Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,123957.0
2019Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,66058.0
2019Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,108223.0
2019Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,17783.0
2019Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,168066.0
2019Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,57795.0
2019Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,31060.0
2019Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41711.0
2019Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,129.0
2019Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7482.0
2019Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1392.0
2020Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,6116.0
2020Q1,Children,CB,Child Benefit,Social Assistance,642825.0
2020Q1,Children,FIS,Working Family Payment,Social Assistance,57257.0
2020Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,88000.0
2020Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,3938.0
2020Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,150851.0
2020Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,98403.0
2020Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,59925.0
2020Q1,Pensions,SPC,State Pension Contributory,Social Insurance,438247.0
2020Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96417.0
2020Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,124422.0
2020Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,67185.0
2020Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,110219.0
2020Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,16499.0
2020Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,165417.0
2020Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,67874.0
2020Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,30426.0
2020Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,42124.0
2020Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,224813.0
2020Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,862.0
2020Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,7748.0
2020Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1388.0
2020Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,4973.0
2020Q2,Children,CB,Child Benefit,Social Assistance,642694.0
2020Q2,Children,FIS,Working Family Payment,Social Assistance,54883.0
2020Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,89036.0
2020Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4086.0
2020Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,151824.0
2020Q2,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,113632.0
2020Q2,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,60148.0
2020Q2,Pensions,SPC,State Pension Contributory,Social Insurance,442457.0
2020Q2,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96262.0
2020Q2,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,124285.0
2020Q2,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,68513.0
2020Q2,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,112044.0
2020Q2,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,22401.0
2020Q2,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,153303.0
2020Q2,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,63200.0
2020Q2,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,28852.0
2020Q2,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41369.0
2020Q2,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,734259.0
2020Q2,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,2083.0
2020Q2,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,5076.0
2020Q2,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1358.0
2020Q3,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,4411.0
2020Q3,Children,CB,Child Benefit,Social Assistance,642997.0
2020Q3,Children,FIS,Working Family Payment,Social Assistance,52753.0
2020Q3,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,89716.0
2020Q3,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4328.0
2020Q3,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,153556.0
2020Q3,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,94517.0
2020Q3,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,60375.0
2020Q3,Pensions,SPC,State Pension Contributory,Social Insurance,447254.0
2020Q3,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96347.0
2020Q3,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,124382.0
2020Q3,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,70801.0
2020Q3,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,115318.0
2020Q3,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,20999.0
2020Q3,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,170548.0
2020Q3,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,65057.0
2020Q3,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,28196.0
2020Q3,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41592.0
2020Q3,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,448618.0
2020Q3,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,4916.0
2020Q3,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6722.0
2020Q3,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1344.0
2020Q4,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,4123.0
2020Q4,Children,CB,Child Benefit,Social Assistance,643159.0
2020Q4,Children,FIS,Working Family Payment,Social Assistance,52100.0
2020Q4,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,90684.0
2020Q4,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4268.0
2020Q4,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,154260.0
2020Q4,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,109309.0
2020Q4,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,60467.0
2020Q4,Pensions,SPC,State Pension Contributory,Social Insurance,451910.0
2020Q4,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96413.0
2020Q4,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,124453.0
2020Q4,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,74266.0
2020Q4,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,120726.0
2020Q4,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,20469.0
2020Q4,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,169514.0
2020Q4,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,61990.0
2020Q4,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,28877.0
2020Q4,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41940.0
2020Q4,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,493868.0
2020Q4,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,6873.0
2020Q4,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6466.0
2020Q4,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1320.0
2021Q1,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,3788.0
2021Q1,Children,CB,Child Benefit,Social Assistance,640391.0
2021Q1,Children,FIS,Working Family Payment,Social Assistance,50322.0
2021Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,91353.0
2021Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4213.0
2021Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,155601.0
2021Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,124303.0
2021Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,60690.0
2021Q1,Pensions,SPC,State Pension Contributory,Social Insurance,456128.0
2021Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,96453.0
2021Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,124786.0
2021Q1,Supplementary Payments and Miscellaneous Services,HHB,Household Benefits,Social Assistance,76195.0
2021Q1,Supplementary Payments and Miscellaneous Services,HHB1,Household Benefits,Social Insurance,124329.0
2021Q1,Supplementary Payments and Miscellaneous Services,RENT,Rent Supplement,Social Assistance,20872.0
2021Q1,Working Age Income Supports,UA,Jobseekers Allowance,Social Assistance,157280.0
2021Q1,Working Age Income Supports,UB,Jobseekers Benefit,Social Insurance,55594.0
2021Q1,Working Age Income Supports,MAT,Maternity Benefit,Social Insurance,29501.0
2021Q1,Working Age Income Supports,OFP,One Parent Family Payment,Social Assistance,41401.0
2021Q1,Working Age Income Supports,PUP,Pandemic Unemployment Claim,Social Insurance,570492.0
2021Q1,Working Age Income Supports,PAR,Parents Benefit,Social Insurance,6675.0
2021Q1,Working Age Income Supports,PAT,Paternity Benefit,Social Insurance,6544.0
2021Q1,Working Age Income Supports,WNCP,Widows Non Contributory Pension,Social Assistance,1315.0
2021Q2,Children,BTWF,Back to Work Scheme Family Dividend,Social Assistance,3492.0
2021Q2,Children,CB,Child Benefit,Social Assistance,641714.0
2021Q2,Children,FIS,Working Family Payment,Social Assistance,48892.0
2021Q2,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,91648.0
2021Q2,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,4168.0
2021Q2,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,156162.0
